Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_7,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,281
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_2_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,282
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,283
Cells_AreaShape_Perimeter,0.0,Cells,AreaShape,Perimeter,,284
Cytoplasm_RadialDistribution_FracAtD_Hoechst_1of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Hoechst,285
Nuclei_RadialDistribution_FracAtD_Hoechst_2of4,0.0,Nuclei,RadialDistribution,FracAtD,Hoechst,286
Nuclei_Texture_InfoMeas1_Mitochondria_3_02_256,0.0,Nuclei,Texture,InfoMeas1,Mitochondria,287
Cytoplasm_AreaShape_Zernike_3_1,0.0,Cytoplasm,AreaShape,Zernike,3,288
Nuclei_RadialDistribution_RadialCV_Mitochondria_1of4,0.0,Nuclei,RadialDistribution,RadialCV,Mitochondria,289
Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.0,Cells,Neighbors,AngleBetweenNeighbors,Adjacent,290
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_5_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,291
Nuclei_Texture_Contrast_Actin_3_01_256,0.0,Nuclei,Texture,Contrast,Actin,292
Nuclei_Intensity_IntegratedIntensityEdge_Hoechst,0.0,Nuclei,Intensity,IntegratedIntensityEdge,Hoechst,293
Cytoplasm_Correlation_Correlation_Hoechst_PM,0.0,Cytoplasm,Correlation,Correlation,Hoechst,294
Cells_AreaShape_Zernike_9_3,0.0,Cells,AreaShape,Zernike,9,295
Nuclei_Texture_Correlation_ER_3_02_256,0.0,Nuclei,Texture,Correlation,ER,296
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_5_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,297
Cells_RadialDistribution_FracAtD_ER_1of4,0.0,Cells,RadialDistribution,FracAtD,ER,298
Nuclei_Intensity_MaxIntensityEdge_ER,0.0,Nuclei,Intensity,MaxIntensityEdge,ER,299
Cells_Texture_InfoMeas1_Actin_3_03_256,0.0,Cells,Texture,InfoMeas1,Actin,300
Cytoplasm_RadialDistribution_FracAtD_ER_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,ER,301
Cells_RadialDistribution_ZernikeMagnitude_PM_5_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,302
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_8_8,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,303
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,304
Cells_RadialDistribution_FracAtD_Mitochondria_4of4,0.0,Cells,RadialDistribution,FracAtD,Mitochondria,305
Nuclei_RadialDistribution_MeanFrac_Mitochondria_1of4,0.0,Nuclei,RadialDistribution,MeanFrac,Mitochondria,306
Nuclei_Texture_Contrast_Actin_3_00_256,0.0,Nuclei,Texture,Contrast,Actin,307
Cytoplasm_Correlation_RWC_ER_PM,0.0,Cytoplasm,Correlation,RWC,ER,308
Cytoplasm_RadialDistribution_MeanFrac_Actin_2of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,Actin,309
Nuclei_Correlation_K_PM_Hoechst,0.0,Nuclei,Correlation,K,PM,310
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,311
Cytoplasm_Correlation_RWC_Mitochondria_ER,0.0,Cytoplasm,Correlation,RWC,Mitochondria,312
Cytoplasm_Intensity_MADIntensity_ER,0.0,Cytoplasm,Intensity,MADIntensity,ER,313
